Supplier ID,Supplier Name,Supplier Type,Contact Name,Contact Email,Contact Phone,Services Provided,Classification (Critical/Important/Standard),Contract Start Date,Contract End Date,Annual Cost (£),Data Processed (Y/N),Personal Data (Y/N),DPA in Place (Y/N),Security Assessment Date,Security Assessment Score,Certifications (ISO27001 SOC2 etc),SLA Uptime,Last Security Review,Next Security Review,Risk Level,Contract Manager,Notes
SUP-001,Amazon Web Services (AWS),Cloud Infrastructure Provider (IaaS/PaaS),AWS Support,via AWS Console,+1-877-910-7452,"Complete cloud infrastructure: EC2 RDS S3 Lambda VPC CloudWatch GuardDuty Security Hub WAF Backup",Critical,[Contract Date],No end date (ongoing),£500-2000/month (variable),"Y (hosts all systems)",Y (customer tenant data),"Y (AWS Data Processing Addendum accepted)","[Last review date]",Excellent,"ISO 27001, ISO 27017, ISO 27018, SOC 1/2/3, PCI DSS Level 1, GDPR-compliant","99.99% (EC2 region), 99.95% (RDS Multi-AZ)","[Last review date]","[Quarterly]",Low (highly trusted),Akam Rahimi,"Primary infrastructure supplier; AWS Shared Responsibility Model documented; compliance certs reviewed annually; security bulletins monitored; Support plan: [Specify: Business/Enterprise]"
SUP-002,[Email Provider Name],[Specify: Google Workspace / Office 365 / Other],Support,[support email],[phone],Business email calendar documents productivity suite,Critical,[Contract Date],[Renewal date],£10/user/month,"Y (business communications)",Y (employee data email content),"Y (DPA in standard terms)",[Assessment date],Good,"ISO 27001, SOC 2",[Specify SLA],[Last review],[Annually],Low,Managing Director,"Email hosting; MFA enforced; UK/EU data residency verified; backup via email client local copies"
SUP-003,[Git Repository Host],[Specify: GitHub Enterprise / GitLab / Bitbucket],Support,[support email],[phone],Source code repository hosting version control,Important,[Contract Date],[Renewal date],£variable,[per plan],"Y (source code docs)",N (no personal data in code),"Y (standard terms)",[Assessment date],Good,SOC 2 Type II,[SLA],[Last review],[Annually],Medium,Senior Developer,"Private repositories only; MFA enforced; commit signing recommended; distributed backup model (local clones)"
SUP-004,[Domain Registrar Name],Domain Registrar,Support,[support email],[phone],Domain registration and renewal for app_domain,Important,[Registration date],[Renewal date],£20/year,N,N,N/A,[Assessment date],Acceptable,None required,[N/A],[Last review],[Annually],Medium,Senior Developer,"Domain: [app_domain]; auto-renewal enabled; MFA on account; Route53 handles DNS hosting (AWS); registrar for registration only"
SUP-005,[VPN Provider],[If using third-party VPN],Support,[support email],[phone],VPN service for remote access to internal systems,Important,[Contract date],[Renewal date],£variable,Y (network traffic),Potentially (if accessing customer data),Y,[Assessment date],Good,SOC 2,[SLA],[Last review],[Annually],Medium,ISMS Lead,"Remote access VPN; AES-256 encryption; MFA enforced; UK-based servers; no-logs policy; alternative: AWS Client VPN"
SUP-006,[Payment Processor],[If applicable],Support,[support email],[phone],Payment processing for customer billing,Important (if used),[Contract date],[Renewal date],£variable (transaction %),"Y (processes payments)",Y (customer billing details),Y (PCI DSS DPA),[Assessment date],Good,PCI DSS Level 1 certified SOC 2,[SLA],[Last review],[Annually],Medium,Managing Director,"PCI DSS compliant; no card data stored by EPACT (tokens only); reconciliation monthly; SLA and fraud protection reviewed"
SUP-007,[Penetration Testing Firm],Security Testing Consultant,[Consultant name],[email],[phone],Annual penetration testing and security assessments,Important,[Engagement date],Ongoing (annual),£3000-8000/test,"Y (access for testing)",Potentially (test environment),Y (testing NDA),[N/A - service provider],N/A,"ISO 27001, CREST certified (if UK), OSCP certified testers",[N/A],[Last engagement],[Next test date: Annual],Low,Akam Rahimi,"Annual pen test; AWS approval obtained; test scope: Application + Infrastructure; findings remediated per SLA; reports confidential"
SUP-008,[Cyber Insurance Provider],Insurance Provider,[Broker/Provider],[email],[phone],Cyber liability insurance coverage,Important,[Policy date],[Renewal date],£2000-5000/year,N,N,N/A,[N/A],N/A,FCA authorized,[N/A],[Last review],[Annual renewal],Low,Managing Director,"Coverage: [£X] for data breach costs; incident response; business interruption; regulatory fines; policy reviewed annually"
SUP-009,[Legal Counsel Firm],External Legal Counsel,[Solicitor name],[email],[phone],Legal advice for GDPR contracts IP regulatory,Important,Ongoing,Ongoing,£variable (hourly),Potentially (consultation),Potentially (advice on breaches),Y (confidentiality agreement),[N/A],N/A,SRA regulated,[N/A],[Last review],[Annually],Low,Managing Director,"On-call for legal incidents; GDPR breach advice; contract review; employment law; IP protection; conflicts of interest checked"
SUP-010,[ISO 27001 Certification Body],Certification Auditor,[Lead Auditor],[email],[phone],ISO 27001 certification audits,Important,[Stage 1 date],[Certificate expiry + 3 years],£5000-10000 (initial + annual),Y (access to ISMS docs),N (policies only),Y (confidentiality agreement),[N/A],N/A,UKAS accredited (or equivalent),[N/A],[Last audit],[Next surveillance: Annual],Low,Akam Rahimi,"Certification body; UKAS accreditation verified; Stage 1 and Stage 2 audits; annual surveillance; impartiality and independence verified"

